   R0625040000030324Instrumentos financieros                      
0615330000BR01250813          19811130BRP500000000001699929INP    
0615330000BR0B300404          19921130BRP500000000000193470INP    
0615330000BR03151001          19831130BRP500000000001540643INP    
0615330000BR41050212          19810531BRP500000000001899939INP    
0615330000BR36120905          19860430BRP500000000000745751INP    
0615330000BR36010302          19860430BRP500000000000831588INP    
0615330000BR02300114          19821130BRP500000000001387148INP    
0615330000BR41060609          19810531BRP500000000002062141INP    
0615330000BR41050308          19810531BRP500000000002145880INP    
0615330000BR34060708          19840430BRP500000000001180365INP    
0615330000BR16180902          19860228BRP500000000000843607INP    
0615330000BR36270412          19860430BRP500000000000608257INP    
0615330000BR16211109          19860228BRP500000000000676237INP    
0615330000BR22080110          19820331BRP500000000001862295INP    
0615330000BR01270403          19811130BRP500000000002344343INP    
0615330000BR61220405          19810731BRP500000000002300715INP    
0615330000BR51230402          19810630BRP500000000002530117INP    
0615330000BE81040813          19810930BRP500000000001733658INP    
0615330000AE41031003          19810531BRP500000000002465537INP    
0615330000BR51130609          19810630BRP500000000002025949INP    
0615330000BR41060807          19810531BRP500000000002184416INP    
0615330000BR41060912          19810531BRP500000000001865558INP    
0615330000BR12011109          19820228BRP500000000001865825INP    
0615330000BR41020406          19810531BRP500000000002278601INP    
0615330000BR16250808          19860228BRP500000000000702512INP    
0615330000BR14030116          19840229BRP500000000000966366INP    
0615330000BR02260407          19821130BRP500000000001709923INP    
0615330000BR14110915          19840229BRP500000000000974996INP    
0615330000BR01241209          19811130BRP500000000001903447INP    
0615330000BR13271004          19830228BRP500000000001719454INP    
0615330000BR03270409          19831130BRP500000000001223659INP    
0615330000BR51170109          19810630BRP500000000002050519INP    
0615330000BR33010909          19830430BRP500000000001439493INP    
0615330000BR41170907          19810531BRP500000000002174043INP    
0615330000BR41031112          19810531BRP500000000001857062INP    
0615330000BR34010908          19840430BRP500000000001175232INP    
0615330000BR32030311          19820430BRP500000000001784791INP    
0615330000BR22050613          19820331BRP500000000001677410INP    
0615330000BR01240204          19811130BRP500000000002281686INP    
0615330000BR41230206          19810531BRP500000000002287877INP    
0615330000BR0A080503          19911130BRP500000000000235447INP    
0615330000BR41170811          19810531BRP500000000001925518INP    
0615330000BR2C170609          19930331BRP500000000000159178INP    
0615330000BR41040707          19810531BRP500000000002191024INP    
0615330000BR22180104          19820331BRP500000000002244250INP    
0615330000BR34200208          19840430BRP500000000001196878INP    
0615330000BR12220702          19820228BRP500000000002336689INP    
0615330000BR51230504          19810630BRP500000000002376197INP    
0615330000BR01260606          19811130BRP500000000002122852INP    
0615330000BR41030913          19810531BRP500000000001809826INP    
0615330000BR16160902          19860228BRP500000000000843928INP    
0615330000BR41271201          19810531BRP500000000002597154INP    
0615330000BR41040107          19810531BRP500000000002225295INP    
0615330000BR12250105          19820228BRP500000000002165291INP    
0615330000BR02200902          19821130BRP500000000001968256INP    
0615330000BR41230302          19810531BRP500000000002579091INP    
0615330000BR01261101          19811130BRP500000000002441495INP    
0615330000BR22061101          19820331BRP500000000002397332INP    
0615330000BR16231110          19860228BRP500000000000655373INP    
0615330000BR41181010          19810531BRP500000000001974414INP    
0615330000BR04300408          19841130BRP500000000000991922INP    
0615330000BR2D140814          19940331BRP500000000000115576INP    
0615330000BR0B050407          19921130BRP500000000000176600INP    
0615330000BR41040205          19810531BRP500000000002360436INP    
0615330000BR05140509          19851130BRP500000000000731548INP    
0615330000BR06031105          19861130BRP500000000000670061INP    
0615330000BE71201009          19810831BRP500000000001975199INP    
